lncrna_id,partner_id,partner_name,pearson_r,pvalue
Cp_V2_contig_12238,Cp_V2_contig_9340,.,0.9205,0.000159
Cp_V2_contig_12238,Cp_V2_contig_214,.,0.9204,0.000159
Cp_V2_contig_12238,Cp_V2_contig_510,.,0.9201,0.000162
Cp_V2_contig_12238,Cp_V2_contig_18169,.,0.9197,0.000165
Cp_V2_contig_12238,Cp_V2_contig_19105,.,0.9191,0.00017
Cp_V2_contig_12238,Cp_V2_contig_6462,.,0.9186,0.000174
Cp_V2_contig_12238,Cp_V2_contig_47812,.,0.9184,0.000176
Cp_V2_contig_12238,Cp_V2_contig_17597,.,0.9181,0.000178
Cp_V2_contig_12238,Cp_V2_contig_18945,.,0.918,0.000179
Cp_V2_contig_12238,Cp_V2_contig_11243,.,0.9179,0.00018
Cp_V2_contig_12238,Cp_V2_contig_252,.,0.9178,0.000181
Cp_V2_contig_12238,Cp_V2_contig_2913,.,0.9177,0.000181
Cp_V2_contig_12238,Cp_V2_contig_4148,.,0.9174,0.000184
Cp_V2_contig_12238,Cp_V2_contig_29118,.,0.9172,0.000186
Cp_V2_contig_12238,Cp_V2_contig_31173,.,0.9172,0.000186
Cp_V2_contig_12238,Cp_V2_contig_37788,.,0.9171,0.000187
Cp_V2_contig_12238,Cp_V2_contig_7792,.,0.9168,0.00019
Cp_V2_contig_12238,Cp_V2_contig_26276,.,0.9166,0.000191
Cp_V2_contig_12238,Cp_V2_contig_16225,.,0.9163,0.000194
Cp_V2_contig_12238,Cp_V2_contig_46148,.,0.9163,0.000194
Cp_V2_contig_12238,Cp_V2_contig_4663,.,0.9163,0.000194
Cp_V2_contig_12238,Cp_V2_contig_40374,.,0.9162,0.000195
Cp_V2_contig_12238,Cp_V2_contig_5722,.,0.916,0.000196
Cp_V2_contig_12238,Cp_V2_contig_11988,.,0.9159,0.000198
Cp_V2_contig_12238,Cp_V2_contig_13805,.,0.9159,0.000198
Cp_V2_contig_12238,Cp_V2_contig_47392,.,0.9159,0.000198
Cp_V2_contig_12238,Cp_V2_contig_20920,.,0.9154,0.000202
Cp_V2_contig_12238,Cp_V2_contig_9156,.,0.9154,0.000202
Cp_V2_contig_12238,Cp_V2_contig_25861,.,0.9153,0.000203
Cp_V2_contig_12238,Cp_V2_contig_44,.,0.9153,0.000203
Cp_V2_contig_12238,Cp_V2_contig_26363,.,0.915,0.000206
Cp_V2_contig_12238,Cp_V2_contig_31365,.,0.9147,0.000209
Cp_V2_contig_12238,Cp_V2_contig_47823,.,0.9146,0.000209
Cp_V2_contig_12238,Cp_V2_contig_9335,.,0.9146,0.000209
Cp_V2_contig_12238,Cp_V2_contig_12986,.,0.9145,0.000211
Cp_V2_contig_12238,Cp_V2_contig_9310,.,0.9145,0.00021
Cp_V2_contig_12238,Cp_V2_contig_17356,.,0.9143,0.000213
Cp_V2_contig_12238,Cp_V2_contig_15870,.,0.9142,0.000213
Cp_V2_contig_12238,Cp_V2_contig_5185,.,0.9142,0.000213
Cp_V2_contig_12238,Cp_V2_contig_1312,.,0.9137,0.000218
Cp_V2_contig_12238,Cp_V2_contig_19807,.,0.9136,0.00022
