Gene_ID,Sl_hyd_r1,Sl_hyd_r2,Sl_hyd_r3,Sl_des_r1,Sl_des_r2,Sl_des_r3,Sl_rehyd_r1,Sl_rehyd_r2,Sl_rehyd_r3
MSTRG.12277,417.594513,474.475006,614.198486,766.935181,768.03241,569.057861,429.859711,594.244873,622.825684
MSTRG.12279,1.293159,0.917333,3.617934,0.0,0.0,1.885202,0.0,0.0,0.0
MSTRG.12280,3.025291,2.433779,3.268432,1.396791,2.121944,4.534344,5.150403,2.680073,1.708926
MSTRG.12281,4.307944,4.982651,2.346983,3.441439,2.065065,5.646957,0.0,2.179942,7.359884
MSTRG.12282,12.012681,0.0,2.757956,6.664341,1.326487,2.805936,0.0,3.539651,3.880959
MSTRG.12283,1.447862,2.717009,1.623948,10.872965,7.713253,7.157766,7.501627,5.528214,5.001454
MSTRG.12284,0.0,4.528806,0.0,6.434498,3.909109,3.352064,2.797799,4.007989,2.981813
MSTRG.12285,5.524903,3.492807,10.946239,12.63475,15.73438,9.644172,5.561754,5.476604,6.976065
MSTRG.12286,7.552564,3.921663,7.115536,18.493935,21.855326,14.594151,8.062203,8.504843,5.454193
MSTRG.12287,7.331589,4.645334,7.455071,20.360432,19.672138,15.446325,8.77842,5.682003,5.133353
MSTRG.12288,17.183907,13.03611,32.814301,13.362343,52.648899,29.362864,17.09446,21.150087,19.795321
MSTRG.12290,0.0,0.0,0.0,0.0,0.0,1.539466,10.253613,0.0,0.0
MSTRG.12291,0.0,0.0,0.0,0.0,1.257163,0.0,13.814339,0.0,0.0
MSTRG.12289,16.695103,15.123395,26.971245,76.369225,59.493889,41.556168,21.439013,24.790754,17.766867
MSTRG.12292,14.647085,19.823761,11.795739,11.023321,5.449618,10.805127,8.535491,10.118909,9.016087
MSTRG.12293,32.095814,35.696293,16.282497,23.069174,10.858734,22.196527,13.611209,19.530922,20.972857
MSTRG.12294,15.963294,19.970797,10.091555,12.077701,7.223485,12.425007,8.010197,12.696204,10.427833
MSTRG.12295,0.0,1.143953,2.630546,0.0,0.0,0.0,0.0,2.616228,2.430018
MSTRG.12296,34.884418,42.997257,19.680885,24.8319,15.216451,31.469025,16.200705,27.805754,21.517481
