gene_id,mean_hydrated,mean_dehydrated,mean_rehydrated,log2FC,pvalue,cp_hyd_r1,cp_hyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,padj
Cp_V2_contig_18379,6.835,19.74,0.0,1.5164,0.2997453509469998,0.0,13.67,5.437,23.284,48.204,21.776,0.0,0.0,0.0,0.0,0.7818663273930058
Cp_V2_contig_1838,0.0,0.942,16.46,3.3811,0.37390096630005887,0.0,0.0,0.0,0.0,0.0,4.709,0.0,49.381,0.0,0.0,0.7818663273930058
Cp_V2_contig_18382,12.748,3.335,16.113,-1.9034,0.593867140391005,0.0,25.496,10.657,0.0,0.0,6.016,0.0,24.28,0.0,24.057,0.9198159583493466
Cp_V2_contig_18383,8.9,0.961,10.174,-3.0849,0.5359262376904534,0.0,17.799,0.0,2.191,0.0,2.612,0.0,23.296,0.0,7.227,0.9042211694673606
Cp_V2_contig_18386,29.425,44.988,23.336,0.6108,0.6960450635208758,0.0,58.85,21.749,19.523,24.907,56.65,102.114,48.561,7.192,14.256,0.9539305510902018
Cp_V2_contig_1839,8.258,6.035,28.438,-0.4461,0.8340999891624934,0.0,16.516,9.932,0.0,0.0,8.193,12.051,71.529,13.785,0.0,1.0
Cp_V2_contig_18390,61.536,43.203,102.743,-0.5093,0.8159866603295156,0.0,123.072,33.638,23.349,25.246,65.759,68.023,146.995,73.22,88.013,0.9922241805437405
Cp_V2_contig_18393,58.569,229.061,145.792,1.9657,0.18806667295507545,0.0,117.139,212.559,296.115,218.061,203.087,215.486,114.02,124.064,199.291,0.7818663273930058
Cp_V2_contig_18397,16.236,13.265,15.73,-0.2896,0.8876426420742013,0.0,32.472,0.0,9.811,18.977,37.537,0.0,0.0,7.292,39.898,1.0
Cp_V2_contig_184,11.906,351.05,357.944,4.8702,0.1531447711432482,0.0,23.813,26.316,100.067,0.0,916.606,712.261,1003.538,55.839,14.454,0.7818663273930058
Cp_V2_contig_18401,0.0,20.377,8.093,7.6779,0.10180478167103034,0.0,0.0,9.207,0.0,14.91,56.203,21.564,24.28,0.0,0.0,0.7818663273930058
Cp_V2_contig_18402,14.833,15.481,9.812,0.0613,0.9729679289602912,0.0,29.666,5.292,10.563,0.0,29.047,32.505,0.0,14.684,14.751,1.0
