Gene ID,Gene Name,cp_hyd_r1,cp_hyd_r3,cp_rehyd_r1,cp_rehyd_r2,cp_rehyd_r3,cp_wc2_r2,cp_wc2_r3,cp_wc60_r1,cp_wc60_r2,cp_wc60_r3
Cp_V2_contig_17046,.,0.0,38.044025,48.068787,29.267975,48.609993,41.90287,48.840088,37.02121,31.968643,11.257904
Cp_V2_contig_17047,.,0.0,0.0,24.77265,7.591693,0.0,0.0,12.9499,19.654282,0.0,0.0
Cp_V2_contig_17048,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17049,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1705,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17050,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17051,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17052,.,0.0,27.260208,11.812124,199.281937,190.182892,140.715347,142.252686,148.932007,75.659126,78.488205
Cp_V2_contig_17053,.,0.0,14.59223,0.0,12.486338,14.751302,0.0,14.421479,21.856915,8.353097,0.0
Cp_V2_contig_17054,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.059551,2.509367,0.0
Cp_V2_contig_17055,.,0.0,28.703396,94.825111,0.0,27.126554,9.279529,7.063581,23.720684,84.424721,43.763119
Cp_V2_contig_17056,.,0.0,305.87558,174.228836,170.613312,255.62323,156.519547,374.0755,355.471405,228.79924,460.78125
Cp_V2_contig_17057,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17058,.,0.0,81.459923,0.0,14.783823,17.424356,40.162956,9.581617,0.0,19.971809,69.291603
Cp_V2_contig_17059,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_1706,.,0.0,143.998047,136.987839,64.529388,65.044334,58.504524,86.921295,24.737286,72.565384,102.272507
Cp_V2_contig_17060,.,0.0,31.269062,20.343103,29.567646,40.887836,20.661449,14.127163,0.0,22.412426,109.724922
Cp_V2_contig_17061,.,0.0,28.222334,12.468354,29.467756,56.827164,32.043369,16.28548,24.398418,43.518604,29.333975
Cp_V2_contig_17062,.,0.0,10.984261,0.0,84.857147,103.011612,53.357288,107.196388,99.626877,36.231129,28.303322
Cp_V2_contig_17063,.,0.0,119.14315,296.451508,36.659885,72.271477,64.594215,52.35553,36.597626,141.177643,220.559784
Cp_V2_contig_17064,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17065,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.509367,0.0
Cp_V2_contig_17066,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17067,.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cp_V2_contig_17068,.,0.0,20.525335,0.0,7.19213,29.007593,0.0,12.099654,68.281685,77.30912,88.477608
Cp_V2_contig_17069,.,0.0,0.0,0.0,0.0,0.0,0.0,9.712425,25.076153,4.881234,0.0
Cp_V2_contig_1707,.,0.0,190.500748,134.526978,260.415039,270.176514,334.642975,96.208595,144.526733,242.2742,287.314392
